H, DEN
108750.0,1.1682764234191217e-07
109000.0,1.1165228614949203e-07
109250.0,1.0673130859291869e-07
109500.0,1.0205559489836422e-07
109750.0,9.761603029200064e-08
110000.0,9.340349999999999e-08
110250.0,8.940910099221569e-08
110500.0,8.562477721322683e-08
110750.0,8.204268435129398e-08
111000.0,7.865497809467758e-08
111250.0,7.545381413163818e-08
111500.0,7.24313481504363e-08
111750.0,6.957973583933241e-08
112000.0,6.689113288658706e-08
112250.0,6.435769498046075e-08
112500.0,6.1971577809214e-08
112750.0,5.972493706110735e-08
113000.0,5.7609928424401254e-08
113250.0,5.561870758735625e-08
113500.0,5.3743430238232845e-08
113750.0,5.197625206529158e-08
114000.0,5.0309328756792925e-08
114250.0,4.873481600099743e-08
114500.0,4.724486948616559e-08
114750.0,4.583164490055791e-08
115000.0,4.448729793243492e-08
115250.0,4.320398427005712e-08
115500.0,4.197385960168502e-08
115750.0,4.078907961557914e-08
116000.0,3.964180000000001e-08
116250.0,3.8525418103374366e-08
116500.0,3.743829791479413e-08
116750.0,3.6380045083517425e-08
117000.0,3.535026525880241e-08
117250.0,3.4348564089907206e-08
117500.0,3.337454722608999e-08
117750.0,3.2427820316608885e-08
118000.0,3.150798901072205e-08
118250.0,3.061465895768763e-08
118500.0,2.974743580676375e-08
118750.0,2.8905925207208598e-08
119000.0,2.808973280828029e-08
119250.0,2.729846425923697e-08
119500.0,2.6531725209336795e-08
119750.0,2.578912130783791e-08
120000.0,2.5070258203998457e-08
120250.0,2.4374741547076586e-08
120500.0,2.3702176986330446e-08
120750.0,2.305217017101817e-08
121000.0,2.2424326750397917e-08
121250.0,2.1818252373727826e-08
121500.0,2.1233552690266044e-08
121750.0,2.0669833349270716e-08
122000.0,2.01267e-08
122250.0,1.9603710542492834e-08
122500.0,1.910023187991143e-08
122750.0,1.8615583166198815e-08
123000.0,1.814908355529798e-08
123250.0,1.7700052201151955e-08
123500.0,1.7267808257703754e-08
123750.0,1.685167087889638e-08
124000.0,1.645095921867286e-08
124250.0,1.6064992430976213e-08
124500.0,1.569308966974943e-08
124750.0,1.5334570088935554e-08
125000.0,1.498875284247758e-08
125250.0,1.465495708431853e-08
125500.0,1.433250196840141e-08
125750.0,1.4020706648669252e-08
126000.0,1.3718890279065055e-08
126250.0,1.3426372013531836e-08
126500.0,1.314247100601262e-08
126750.0,1.2866506410450406e-08
127000.0,1.2597797380788219e-08
127250.0,1.233566307096907e-08
127500.0,1.2079422634935972e-08
127750.0,1.1828395226631942e-08
128000.0,1.15819e-08
128250.0,1.1339371916324417e-08
128500.0,1.1100709166254563e-08
128750.0,1.0865925747781063e-08
129000.0,1.0635035658894547e-08
129250.0,1.0408052897585645e-08
129500.0,1.0184991461844988e-08
129750.0,9.965865349663197e-09
130000.0,9.750688559030913e-09
130250.0,9.539475087938758e-09
130500.0,9.332238934377362e-09
130750.0,9.128994096337358e-09
131000.0,8.929754571809371e-09
131250.0,8.73453435878403e-09
131500.0,8.543347455251965e-09
131750.0,8.356207859203812e-09
132000.0,8.173129568630187e-09
132250.0,7.994126581521729e-09
132500.0,7.81921289586907e-09
132750.0,7.648402509662829e-09
133000.0,7.481709420893641e-09
133250.0,7.3191476275521355e-09
133500.0,7.16073112762894e-09
133750.0,7.006473919114683e-09
134000.0,6.85639e-09
134250.0,6.710471911567122e-09
134500.0,6.5686263682647484e-09
134750.0,6.430738627833177e-09
135000.0,6.296693948012707e-09
135250.0,6.166377586543645e-09
135500.0,6.03967480116629e-09
135750.0,5.916470849620942e-09
136000.0,5.796650989647908e-09
136250.0,5.680100478987489e-09
136500.0,5.566704575379983e-09
136750.0,5.456348536565696e-09
137000.0,5.348917620284925e-09
137250.0,5.244297084277975e-09
137500.0,5.142372186285146e-09
137750.0,5.043028184046743e-09
138000.0,4.946150335303065e-09
138250.0,4.851623897794415e-09
138500.0,4.759334129261097e-09
138750.0,4.669166287443407e-09
139000.0,4.581005630081652e-09
139250.0,4.4947374149161325e-09
139500.0,4.410246899687148e-09
139750.0,4.327419342135004e-09
140000.0,4.24614e-09
140250.0,4.1663112106999045e-09
140500.0,4.087903630362362e-09
140750.0,4.010904994792476e-09
141000.0,3.935303039795356e-09
141250.0,3.861085501176109e-09
141500.0,3.788240114739847e-09
141750.0,3.7167546162916715e-09
142000.0,3.646616741636695e-09
142250.0,3.5778142265800243e-09
142500.0,3.5103348069267663e-09
142750.0,3.444166218482031e-09
